0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"06, 00, 032","06, 01, 032","06, 02, 032","06, 03, 032","06, 04, 032","06, 05, 032","06, 06, 032","06, 07, 032","06, 08, 032","06, 09, 032","06, 10, 032","06, 11, 032","06, 12, 032","06, 13, 032","06, 14, 032","06, 15, 032","06, 16, 032","06, 17, 032","06, 18, 032","06, 19, 032"
"06, 00, 033","06, 01, 033","06, 02, 033","06, 03, 033","06, 04, 033","06, 05, 033","06, 06, 033","06, 07, 033","06, 08, 033","06, 09, 033","06, 10, 033","06, 11, 033","06, 12, 033","06, 13, 033","06, 14, 033","06, 15, 033","06, 16, 033","06, 17, 033","06, 18, 033","06, 19, 033"
"06, 00, 034","06, 01, 034","06, 02, 034","06, 03, 034","06, 04, 034","06, 05, 034","06, 06, 034","06, 07, 034","06, 08, 034","06, 09, 034","06, 10, 034","06, 11, 034","06, 12, 034","06, 13, 034","06, 14, 034","06, 15, 034","06, 16, 034","06, 17, 034","06, 18, 034","06, 19, 034"
"06, 00, 035","06, 01, 035","06, 02, 035","06, 03, 035","06, 04, 035","06, 05, 035","06, 06, 035","06, 07, 035","06, 08, 035","06, 09, 035","06, 10, 035","06, 11, 035","06, 12, 035","06, 13, 035","06, 14, 035","06, 15, 035","06, 16, 035","06, 17, 035","06, 18, 035","06, 19, 035"
"06, 00, 036","06, 01, 036","06, 02, 036","06, 03, 036","06, 04, 036","06, 05, 036","06, 06, 036","06, 07, 036","06, 08, 036","06, 09, 036","06, 10, 036","06, 11, 036","06, 12, 036","06, 13, 036","06, 14, 036","06, 15, 036","06, 16, 036","06, 17, 036","06, 18, 036","06, 19, 036"
"06, 00, 037","06, 01, 037","06, 02, 037","06, 03, 037","06, 04, 037","06, 05, 037","06, 06, 037","06, 07, 037","06, 08, 037","06, 09, 037","06, 10, 037","06, 11, 037","06, 12, 037","06, 13, 037","06, 14, 037","06, 15, 037","06, 16, 037","06, 17, 037","06, 18, 037","06, 19, 037"
"06, 00, 038","06, 01, 038","06, 02, 038","06, 03, 038","06, 04, 038","06, 05, 038","06, 06, 038","06, 07, 038","06, 08, 038","06, 09, 038","06, 10, 038","06, 11, 038","06, 12, 038","06, 13, 038","06, 14, 038","06, 15, 038","06, 16, 038","06, 17, 038","06, 18, 038","06, 19, 038"
"06, 00, 039","06, 01, 039","06, 02, 039","06, 03, 039","06, 04, 039","06, 05, 039","06, 06, 039","06, 07, 039","06, 08, 039","06, 09, 039","06, 10, 039","06, 11, 039","06, 12, 039","06, 13, 039","06, 14, 039","06, 15, 039","06, 16, 039","06, 17, 039","06, 18, 039","06, 19, 039"
"06, 00, 040","06, 01, 040","06, 02, 040","06, 03, 040","06, 04, 040","06, 05, 040","06, 06, 040","06, 07, 040","06, 08, 040","06, 09, 040","06, 10, 040","06, 11, 040","06, 12, 040","06, 13, 040","06, 14, 040","06, 15, 040","06, 16, 040","06, 17, 040","06, 18, 040","06, 19, 040"
"06, 00, 041","06, 01, 041","06, 02, 041","06, 03, 041","06, 04, 041","06, 05, 041","06, 06, 041","06, 07, 041","06, 08, 041","06, 09, 041","06, 10, 041","06, 11, 041","06, 12, 041","06, 13, 041","06, 14, 041","06, 15, 041","06, 16, 041","06, 17, 041","06, 18, 041","06, 19, 041"
"06, 00, 042","06, 01, 042","06, 02, 042","06, 03, 042","06, 04, 042","06, 05, 042","06, 06, 042","06, 07, 042","06, 08, 042","06, 09, 042","06, 10, 042","06, 11, 042","06, 12, 042","06, 13, 042","06, 14, 042","06, 15, 042","06, 16, 042","06, 17, 042","06, 18, 042","06, 19, 042"
"06, 00, 043","06, 01, 043","06, 02, 043","06, 03, 043","06, 04, 043","06, 05, 043","06, 06, 043","06, 07, 043","06, 08, 043","06, 09, 043","06, 10, 043","06, 11, 043","06, 12, 043","06, 13, 043","06, 14, 043","06, 15, 043","06, 16, 043","06, 17, 043","06, 18, 043","06, 19, 043"
"06, 00, 044","06, 01, 044","06, 02, 044","06, 03, 044","06, 04, 044","06, 05, 044","06, 06, 044","06, 07, 044","06, 08, 044","06, 09, 044","06, 10, 044","06, 11, 044","06, 12, 044","06, 13, 044","06, 14, 044","06, 15, 044","06, 16, 044","06, 17, 044","06, 18, 044","06, 19, 044"
"06, 00, 045","06, 01, 045","06, 02, 045","06, 03, 045","06, 04, 045","06, 05, 045","06, 06, 045","06, 07, 045","06, 08, 045","06, 09, 045","06, 10, 045","06, 11, 045","06, 12, 045","06, 13, 045","06, 14, 045","06, 15, 045","06, 16, 045","06, 17, 045","06, 18, 045","06, 19, 045"
"06, 00, 046","06, 01, 046","06, 02, 046","06, 03, 046","06, 04, 046","06, 05, 046","06, 06, 046","06, 07, 046","06, 08, 046","06, 09, 046","06, 10, 046","06, 11, 046","06, 12, 046","06, 13, 046","06, 14, 046","06, 15, 046","06, 16, 046","06, 17, 046","06, 18, 046","06, 19, 046"
"06, 00, 047","06, 01, 047","06, 02, 047","06, 03, 047","06, 04, 047","06, 05, 047","06, 06, 047","06, 07, 047","06, 08, 047","06, 09, 047","06, 10, 047","06, 11, 047","06, 12, 047","06, 13, 047","06, 14, 047","06, 15, 047","06, 16, 047","06, 17, 047","06, 18, 047","06, 19, 047"
"06, 00, 048","06, 01, 048","06, 02, 048","06, 03, 048","06, 04, 048","06, 05, 048","06, 06, 048","06, 07, 048","06, 08, 048","06, 09, 048","06, 10, 048","06, 11, 048","06, 12, 048","06, 13, 048","06, 14, 048","06, 15, 048","06, 16, 048","06, 17, 048","06, 18, 048","06, 19, 048"
"06, 00, 049","06, 01, 049","06, 02, 049","06, 03, 049","06, 04, 049","06, 05, 049","06, 06, 049","06, 07, 049","06, 08, 049","06, 09, 049","06, 10, 049","06, 11, 049","06, 12, 049","06, 13, 049","06, 14, 049","06, 15, 049","06, 16, 049","06, 17, 049","06, 18, 049","06, 19, 049"
"06, 00, 050","06, 01, 050","06, 02, 050","06, 03, 050","06, 04, 050","06, 05, 050","06, 06, 050","06, 07, 050","06, 08, 050","06, 09, 050","06, 10, 050","06, 11, 050","06, 12, 050","06, 13, 050","06, 14, 050","06, 15, 050","06, 16, 050","06, 17, 050","06, 18, 050","06, 19, 050"
"06, 00, 051","06, 01, 051","06, 02, 051","06, 03, 051","06, 04, 051","06, 05, 051","06, 06, 051","06, 07, 051","06, 08, 051","06, 09, 051","06, 10, 051","06, 11, 051","06, 12, 051","06, 13, 051","06, 14, 051","06, 15, 051","06, 16, 051","06, 17, 051","06, 18, 051","06, 19, 051"
"06, 00, 052","06, 01, 052","06, 02, 052","06, 03, 052","06, 04, 052","06, 05, 052","06, 06, 052","06, 07, 052","06, 08, 052","06, 09, 052","06, 10, 052","06, 11, 052","06, 12, 052","06, 13, 052","06, 14, 052","06, 15, 052","06, 16, 052","06, 17, 052","06, 18, 052","06, 19, 052"
"06, 00, 053","06, 01, 053","06, 02, 053","06, 03, 053","06, 04, 053","06, 05, 053","06, 06, 053","06, 07, 053","06, 08, 053","06, 09, 053","06, 10, 053","06, 11, 053","06, 12, 053","06, 13, 053","06, 14, 053","06, 15, 053","06, 16, 053","06, 17, 053","06, 18, 053","06, 19, 053"
"06, 00, 054","06, 01, 054","06, 02, 054","06, 03, 054","06, 04, 054","06, 05, 054","06, 06, 054","06, 07, 054","06, 08, 054","06, 09, 054","06, 10, 054","06, 11, 054","06, 12, 054","06, 13, 054","06, 14, 054","06, 15, 054","06, 16, 054","06, 17, 054","06, 18, 054","06, 19, 054"
"06, 00, 055","06, 01, 055","06, 02, 055","06, 03, 055","06, 04, 055","06, 05, 055","06, 06, 055","06, 07, 055","06, 08, 055","06, 09, 055","06, 10, 055","06, 11, 055","06, 12, 055","06, 13, 055","06, 14, 055","06, 15, 055","06, 16, 055","06, 17, 055","06, 18, 055","06, 19, 055"
"06, 00, 056","06, 01, 056","06, 02, 056","06, 03, 056","06, 04, 056","06, 05, 056","06, 06, 056","06, 07, 056","06, 08, 056","06, 09, 056","06, 10, 056","06, 11, 056","06, 12, 056","06, 13, 056","06, 14, 056","06, 15, 056","06, 16, 056","06, 17, 056","06, 18, 056","06, 19, 056"
"06, 00, 057","06, 01, 057","06, 02, 057","06, 03, 057","06, 04, 057","06, 05, 057","06, 06, 057","06, 07, 057","06, 08, 057","06, 09, 057","06, 10, 057","06, 11, 057","06, 12, 057","06, 13, 057","06, 14, 057","06, 15, 057","06, 16, 057","06, 17, 057","06, 18, 057","06, 19, 057"
"06, 00, 058","06, 01, 058","06, 02, 058","06, 03, 058","06, 04, 058","06, 05, 058","06, 06, 058","06, 07, 058","06, 08, 058","06, 09, 058","06, 10, 058","06, 11, 058","06, 12, 058","06, 13, 058","06, 14, 058","06, 15, 058","06, 16, 058","06, 17, 058","06, 18, 058","06, 19, 058"
"06, 00, 059","06, 01, 059","06, 02, 059","06, 03, 059","06, 04, 059","06, 05, 059","06, 06, 059","06, 07, 059","06, 08, 059","06, 09, 059","06, 10, 059","06, 11, 059","06, 12, 059","06, 13, 059","06, 14, 059","06, 15, 059","06, 16, 059","06, 17, 059","06, 18, 059","06, 19, 059"
"06, 00, 060","06, 01, 060","06, 02, 060","06, 03, 060","06, 04, 060","06, 05, 060","06, 06, 060","06, 07, 060","06, 08, 060","06, 09, 060","06, 10, 060","06, 11, 060","06, 12, 060","06, 13, 060","06, 14, 060","06, 15, 060","06, 16, 060","06, 17, 060","06, 18, 060","06, 19, 060"
"06, 00, 061","06, 01, 061","06, 02, 061","06, 03, 061","06, 04, 061","06, 05, 061","06, 06, 061","06, 07, 061","06, 08, 061","06, 09, 061","06, 10, 061","06, 11, 061","06, 12, 061","06, 13, 061","06, 14, 061","06, 15, 061","06, 16, 061","06, 17, 061","06, 18, 061","06, 19, 061"
"06, 00, 062","06, 01, 062","06, 02, 062","06, 03, 062","06, 04, 062","06, 05, 062","06, 06, 062","06, 07, 062","06, 08, 062","06, 09, 062","06, 10, 062","06, 11, 062","06, 12, 062","06, 13, 062","06, 14, 062","06, 15, 062","06, 16, 062","06, 17, 062","06, 18, 062","06, 19, 062"
"06, 00, 063","06, 01, 063","06, 02, 063","06, 03, 063","06, 04, 063","06, 05, 063","06, 06, 063","06, 07, 063","06, 08, 063","06, 09, 063","06, 10, 063","06, 11, 063","06, 12, 063","06, 13, 063","06, 14, 063","06, 15, 063","06, 16, 063","06, 17, 063","06, 18, 063","06, 19, 063"
"06, 00, 064","06, 01, 064","06, 02, 064","06, 03, 064","06, 04, 064","06, 05, 064","06, 06, 064","06, 07, 064","06, 08, 064","06, 09, 064","06, 10, 064","06, 11, 064","06, 12, 064","06, 13, 064","06, 14, 064","06, 15, 064","06, 16, 064","06, 17, 064","06, 18, 064","06, 19, 064"
"06, 00, 065","06, 01, 065","06, 02, 065","06, 03, 065","06, 04, 065","06, 05, 065","06, 06, 065","06, 07, 065","06, 08, 065","06, 09, 065","06, 10, 065","06, 11, 065","06, 12, 065","06, 13, 065","06, 14, 065","06, 15, 065","06, 16, 065","06, 17, 065","06, 18, 065","06, 19, 065"
"06, 00, 066","06, 01, 066","06, 02, 066","06, 03, 066","06, 04, 066","06, 05, 066","06, 06, 066","06, 07, 066","06, 08, 066","06, 09, 066","06, 10, 066","06, 11, 066","06, 12, 066","06, 13, 066","06, 14, 066","06, 15, 066","06, 16, 066","06, 17, 066","06, 18, 066","06, 19, 066"
"06, 00, 067","06, 01, 067","06, 02, 067","06, 03, 067","06, 04, 067","06, 05, 067","06, 06, 067","06, 07, 067","06, 08, 067","06, 09, 067","06, 10, 067","06, 11, 067","06, 12, 067","06, 13, 067","06, 14, 067","06, 15, 067","06, 16, 067","06, 17, 067","06, 18, 067","06, 19, 067"
"06, 00, 068","06, 01, 068","06, 02, 068","06, 03, 068","06, 04, 068","06, 05, 068","06, 06, 068","06, 07, 068","06, 08, 068","06, 09, 068","06, 10, 068","06, 11, 068","06, 12, 068","06, 13, 068","06, 14, 068","06, 15, 068","06, 16, 068","06, 17, 068","06, 18, 068","06, 19, 068"
"06, 00, 069","06, 01, 069","06, 02, 069","06, 03, 069","06, 04, 069","06, 05, 069","06, 06, 069","06, 07, 069","06, 08, 069","06, 09, 069","06, 10, 069","06, 11, 069","06, 12, 069","06, 13, 069","06, 14, 069","06, 15, 069","06, 16, 069","06, 17, 069","06, 18, 069","06, 19, 069"
"06, 00, 070","06, 01, 070","06, 02, 070","06, 03, 070","06, 04, 070","06, 05, 070","06, 06, 070","06, 07, 070","06, 08, 070","06, 09, 070","06, 10, 070","06, 11, 070","06, 12, 070","06, 13, 070","06, 14, 070","06, 15, 070","06, 16, 070","06, 17, 070","06, 18, 070","06, 19, 070"
"06, 00, 071","06, 01, 071","06, 02, 071","06, 03, 071","06, 04, 071","06, 05, 071","06, 06, 071","06, 07, 071","06, 08, 071","06, 09, 071","06, 10, 071","06, 11, 071","06, 12, 071","06, 13, 071","06, 14, 071","06, 15, 071","06, 16, 071","06, 17, 071","06, 18, 071","06, 19, 071"
"06, 00, 072","06, 01, 072","06, 02, 072","06, 03, 072","06, 04, 072","06, 05, 072","06, 06, 072","06, 07, 072","06, 08, 072","06, 09, 072","06, 10, 072","06, 11, 072","06, 12, 072","06, 13, 072","06, 14, 072","06, 15, 072","06, 16, 072","06, 17, 072","06, 18, 072","06, 19, 072"
"06, 00, 073","06, 01, 073","06, 02, 073","06, 03, 073","06, 04, 073","06, 05, 073","06, 06, 073","06, 07, 073","06, 08, 073","06, 09, 073","06, 10, 073","06, 11, 073","06, 12, 073","06, 13, 073","06, 14, 073","06, 15, 073","06, 16, 073","06, 17, 073","06, 18, 073","06, 19, 073"
"06, 00, 074","06, 01, 074","06, 02, 074","06, 03, 074","06, 04, 074","06, 05, 074","06, 06, 074","06, 07, 074","06, 08, 074","06, 09, 074","06, 10, 074","06, 11, 074","06, 12, 074","06, 13, 074","06, 14, 074","06, 15, 074","06, 16, 074","06, 17, 074","06, 18, 074","06, 19, 074"
"06, 00, 075","06, 01, 075","06, 02, 075","06, 03, 075","06, 04, 075","06, 05, 075","06, 06, 075","06, 07, 075","06, 08, 075","06, 09, 075","06, 10, 075","06, 11, 075","06, 12, 075","06, 13, 075","06, 14, 075","06, 15, 075","06, 16, 075","06, 17, 075","06, 18, 075","06, 19, 075"
"06, 00, 076","06, 01, 076","06, 02, 076","06, 03, 076","06, 04, 076","06, 05, 076","06, 06, 076","06, 07, 076","06, 08, 076","06, 09, 076","06, 10, 076","06, 11, 076","06, 12, 076","06, 13, 076","06, 14, 076","06, 15, 076","06, 16, 076","06, 17, 076","06, 18, 076","06, 19, 076"
"06, 00, 077","06, 01, 077","06, 02, 077","06, 03, 077","06, 04, 077","06, 05, 077","06, 06, 077","06, 07, 077","06, 08, 077","06, 09, 077","06, 10, 077","06, 11, 077","06, 12, 077","06, 13, 077","06, 14, 077","06, 15, 077","06, 16, 077","06, 17, 077","06, 18, 077","06, 19, 077"
"06, 00, 078","06, 01, 078","06, 02, 078","06, 03, 078","06, 04, 078","06, 05, 078","06, 06, 078","06, 07, 078","06, 08, 078","06, 09, 078","06, 10, 078","06, 11, 078","06, 12, 078","06, 13, 078","06, 14, 078","06, 15, 078","06, 16, 078","06, 17, 078","06, 18, 078","06, 19, 078"
"06, 00, 079","06, 01, 079","06, 02, 079","06, 03, 079","06, 04, 079","06, 05, 079","06, 06, 079","06, 07, 079","06, 08, 079","06, 09, 079","06, 10, 079","06, 11, 079","06, 12, 079","06, 13, 079","06, 14, 079","06, 15, 079","06, 16, 079","06, 17, 079","06, 18, 079","06, 19, 079"
"06, 00, 080","06, 01, 080","06, 02, 080","06, 03, 080","06, 04, 080","06, 05, 080","06, 06, 080","06, 07, 080","06, 08, 080","06, 09, 080","06, 10, 080","06, 11, 080","06, 12, 080","06, 13, 080","06, 14, 080","06, 15, 080","06, 16, 080","06, 17, 080","06, 18, 080","06, 19, 080"
"06, 00, 081","06, 01, 081","06, 02, 081","06, 03, 081","06, 04, 081","06, 05, 081","06, 06, 081","06, 07, 081","06, 08, 081","06, 09, 081","06, 10, 081","06, 11, 081","06, 12, 081","06, 13, 081","06, 14, 081","06, 15, 081","06, 16, 081","06, 17, 081","06, 18, 081","06, 19, 081"
"06, 00, 082","06, 01, 082","06, 02, 082","06, 03, 082","06, 04, 082","06, 05, 082","06, 06, 082","06, 07, 082","06, 08, 082","06, 09, 082","06, 10, 082","06, 11, 082","06, 12, 082","06, 13, 082","06, 14, 082","06, 15, 082","06, 16, 082","06, 17, 082","06, 18, 082","06, 19, 082"
"06, 00, 083","06, 01, 083","06, 02, 083","06, 03, 083","06, 04, 083","06, 05, 083","06, 06, 083","06, 07, 083","06, 08, 083","06, 09, 083","06, 10, 083","06, 11, 083","06, 12, 083","06, 13, 083","06, 14, 083","06, 15, 083","06, 16, 083","06, 17, 083","06, 18, 083","06, 19, 083"
"06, 00, 084","06, 01, 084","06, 02, 084","06, 03, 084","06, 04, 084","06, 05, 084","06, 06, 084","06, 07, 084","06, 08, 084","06, 09, 084","06, 10, 084","06, 11, 084","06, 12, 084","06, 13, 084","06, 14, 084","06, 15, 084","06, 16, 084","06, 17, 084","06, 18, 084","06, 19, 084"
"06, 00, 085","06, 01, 085","06, 02, 085","06, 03, 085","06, 04, 085","06, 05, 085","06, 06, 085","06, 07, 085","06, 08, 085","06, 09, 085","06, 10, 085","06, 11, 085","06, 12, 085","06, 13, 085","06, 14, 085","06, 15, 085","06, 16, 085","06, 17, 085","06, 18, 085","06, 19, 085"
"06, 00, 086","06, 01, 086","06, 02, 086","06, 03, 086","06, 04, 086","06, 05, 086","06, 06, 086","06, 07, 086","06, 08, 086","06, 09, 086","06, 10, 086","06, 11, 086","06, 12, 086","06, 13, 086","06, 14, 086","06, 15, 086","06, 16, 086","06, 17, 086","06, 18, 086","06, 19, 086"
"06, 00, 087","06, 01, 087","06, 02, 087","06, 03, 087","06, 04, 087","06, 05, 087","06, 06, 087","06, 07, 087","06, 08, 087","06, 09, 087","06, 10, 087","06, 11, 087","06, 12, 087","06, 13, 087","06, 14, 087","06, 15, 087","06, 16, 087","06, 17, 087","06, 18, 087","06, 19, 087"
"06, 00, 088","06, 01, 088","06, 02, 088","06, 03, 088","06, 04, 088","06, 05, 088","06, 06, 088","06, 07, 088","06, 08, 088","06, 09, 088","06, 10, 088","06, 11, 088","06, 12, 088","06, 13, 088","06, 14, 088","06, 15, 088","06, 16, 088","06, 17, 088","06, 18, 088","06, 19, 088"
"06, 00, 089","06, 01, 089","06, 02, 089","06, 03, 089","06, 04, 089","06, 05, 089","06, 06, 089","06, 07, 089","06, 08, 089","06, 09, 089","06, 10, 089","06, 11, 089","06, 12, 089","06, 13, 089","06, 14, 089","06, 15, 089","06, 16, 089","06, 17, 089","06, 18, 089","06, 19, 089"
"06, 00, 090","06, 01, 090","06, 02, 090","06, 03, 090","06, 04, 090","06, 05, 090","06, 06, 090","06, 07, 090","06, 08, 090","06, 09, 090","06, 10, 090","06, 11, 090","06, 12, 090","06, 13, 090","06, 14, 090","06, 15, 090","06, 16, 090","06, 17, 090","06, 18, 090","06, 19, 090"
"06, 00, 091","06, 01, 091","06, 02, 091","06, 03, 091","06, 04, 091","06, 05, 091","06, 06, 091","06, 07, 091","06, 08, 091","06, 09, 091","06, 10, 091","06, 11, 091","06, 12, 091","06, 13, 091","06, 14, 091","06, 15, 091","06, 16, 091","06, 17, 091","06, 18, 091","06, 19, 091"
"06, 00, 092","06, 01, 092","06, 02, 092","06, 03, 092","06, 04, 092","06, 05, 092","06, 06, 092","06, 07, 092","06, 08, 092","06, 09, 092","06, 10, 092","06, 11, 092","06, 12, 092","06, 13, 092","06, 14, 092","06, 15, 092","06, 16, 092","06, 17, 092","06, 18, 092","06, 19, 092"
"06, 00, 093","06, 01, 093","06, 02, 093","06, 03, 093","06, 04, 093","06, 05, 093","06, 06, 093","06, 07, 093","06, 08, 093","06, 09, 093","06, 10, 093","06, 11, 093","06, 12, 093","06, 13, 093","06, 14, 093","06, 15, 093","06, 16, 093","06, 17, 093","06, 18, 093","06, 19, 093"
"06, 00, 094","06, 01, 094","06, 02, 094","06, 03, 094","06, 04, 094","06, 05, 094","06, 06, 094","06, 07, 094","06, 08, 094","06, 09, 094","06, 10, 094","06, 11, 094","06, 12, 094","06, 13, 094","06, 14, 094","06, 15, 094","06, 16, 094","06, 17, 094","06, 18, 094","06, 19, 094"
"06, 00, 095","06, 01, 095","06, 02, 095","06, 03, 095","06, 04, 095","06, 05, 095","06, 06, 095","06, 07, 095","06, 08, 095","06, 09, 095","06, 10, 095","06, 11, 095","06, 12, 095","06, 13, 095","06, 14, 095","06, 15, 095","06, 16, 095","06, 17, 095","06, 18, 095","06, 19, 095"
"06, 00, 096","06, 01, 096","06, 02, 096","06, 03, 096","06, 04, 096","06, 05, 096","06, 06, 096","06, 07, 096","06, 08, 096","06, 09, 096","06, 10, 096","06, 11, 096","06, 12, 096","06, 13, 096","06, 14, 096","06, 15, 096","06, 16, 096","06, 17, 096","06, 18, 096","06, 19, 096"
"06, 00, 097","06, 01, 097","06, 02, 097","06, 03, 097","06, 04, 097","06, 05, 097","06, 06, 097","06, 07, 097","06, 08, 097","06, 09, 097","06, 10, 097","06, 11, 097","06, 12, 097","06, 13, 097","06, 14, 097","06, 15, 097","06, 16, 097","06, 17, 097","06, 18, 097","06, 19, 097"
"06, 00, 098","06, 01, 098","06, 02, 098","06, 03, 098","06, 04, 098","06, 05, 098","06, 06, 098","06, 07, 098","06, 08, 098","06, 09, 098","06, 10, 098","06, 11, 098","06, 12, 098","06, 13, 098","06, 14, 098","06, 15, 098","06, 16, 098","06, 17, 098","06, 18, 098","06, 19, 098"
"06, 00, 099","06, 01, 099","06, 02, 099","06, 03, 099","06, 04, 099","06, 05, 099","06, 06, 099","06, 07, 099","06, 08, 099","06, 09, 099","06, 10, 099","06, 11, 099","06, 12, 099","06, 13, 099","06, 14, 099","06, 15, 099","06, 16, 099","06, 17, 099","06, 18, 099","06, 19, 099"
"06, 00, 100","06, 01, 100","06, 02, 100","06, 03, 100","06, 04, 100","06, 05, 100","06, 06, 100","06, 07, 100","06, 08, 100","06, 09, 100","06, 10, 100","06, 11, 100","06, 12, 100","06, 13, 100","06, 14, 100","06, 15, 100","06, 16, 100","06, 17, 100","06, 18, 100","06, 19, 100"
"06, 00, 101","06, 01, 101","06, 02, 101","06, 03, 101","06, 04, 101","06, 05, 101","06, 06, 101","06, 07, 101","06, 08, 101","06, 09, 101","06, 10, 101","06, 11, 101","06, 12, 101","06, 13, 101","06, 14, 101","06, 15, 101","06, 16, 101","06, 17, 101","06, 18, 101","06, 19, 101"
"06, 00, 102","06, 01, 102","06, 02, 102","06, 03, 102","06, 04, 102","06, 05, 102","06, 06, 102","06, 07, 102","06, 08, 102","06, 09, 102","06, 10, 102","06, 11, 102","06, 12, 102","06, 13, 102","06, 14, 102","06, 15, 102","06, 16, 102","06, 17, 102","06, 18, 102","06, 19, 102"
"06, 00, 103","06, 01, 103","06, 02, 103","06, 03, 103","06, 04, 103","06, 05, 103","06, 06, 103","06, 07, 103","06, 08, 103","06, 09, 103","06, 10, 103","06, 11, 103","06, 12, 103","06, 13, 103","06, 14, 103","06, 15, 103","06, 16, 103","06, 17, 103","06, 18, 103","06, 19, 103"
"06, 00, 104","06, 01, 104","06, 02, 104","06, 03, 104","06, 04, 104","06, 05, 104","06, 06, 104","06, 07, 104","06, 08, 104","06, 09, 104","06, 10, 104","06, 11, 104","06, 12, 104","06, 13, 104","06, 14, 104","06, 15, 104","06, 16, 104","06, 17, 104","06, 18, 104","06, 19, 104"
"06, 00, 105","06, 01, 105","06, 02, 105","06, 03, 105","06, 04, 105","06, 05, 105","06, 06, 105","06, 07, 105","06, 08, 105","06, 09, 105","06, 10, 105","06, 11, 105","06, 12, 105","06, 13, 105","06, 14, 105","06, 15, 105","06, 16, 105","06, 17, 105","06, 18, 105","06, 19, 105"
"06, 00, 106","06, 01, 106","06, 02, 106","06, 03, 106","06, 04, 106","06, 05, 106","06, 06, 106","06, 07, 106","06, 08, 106","06, 09, 106","06, 10, 106","06, 11, 106","06, 12, 106","06, 13, 106","06, 14, 106","06, 15, 106","06, 16, 106","06, 17, 106","06, 18, 106","06, 19, 106"
"06, 00, 107","06, 01, 107","06, 02, 107","06, 03, 107","06, 04, 107","06, 05, 107","06, 06, 107","06, 07, 107","06, 08, 107","06, 09, 107","06, 10, 107","06, 11, 107","06, 12, 107","06, 13, 107","06, 14, 107","06, 15, 107","06, 16, 107","06, 17, 107","06, 18, 107","06, 19, 107"
"06, 00, 108","06, 01, 108","06, 02, 108","06, 03, 108","06, 04, 108","06, 05, 108","06, 06, 108","06, 07, 108","06, 08, 108","06, 09, 108","06, 10, 108","06, 11, 108","06, 12, 108","06, 13, 108","06, 14, 108","06, 15, 108","06, 16, 108","06, 17, 108","06, 18, 108","06, 19, 108"
"06, 00, 109","06, 01, 109","06, 02, 109","06, 03, 109","06, 04, 109","06, 05, 109","06, 06, 109","06, 07, 109","06, 08, 109","06, 09, 109","06, 10, 109","06, 11, 109","06, 12, 109","06, 13, 109","06, 14, 109","06, 15, 109","06, 16, 109","06, 17, 109","06, 18, 109","06, 19, 109"
"06, 00, 110","06, 01, 110","06, 02, 110","06, 03, 110","06, 04, 110","06, 05, 110","06, 06, 110","06, 07, 110","06, 08, 110","06, 09, 110","06, 10, 110","06, 11, 110","06, 12, 110","06, 13, 110","06, 14, 110","06, 15, 110","06, 16, 110","06, 17, 110","06, 18, 110","06, 19, 110"
"06, 00, 111","06, 01, 111","06, 02, 111","06, 03, 111","06, 04, 111","06, 05, 111","06, 06, 111","06, 07, 111","06, 08, 111","06, 09, 111","06, 10, 111","06, 11, 111","06, 12, 111","06, 13, 111","06, 14, 111","06, 15, 111","06, 16, 111","06, 17, 111","06, 18, 111","06, 19, 111"
"06, 00, 112","06, 01, 112","06, 02, 112","06, 03, 112","06, 04, 112","06, 05, 112","06, 06, 112","06, 07, 112","06, 08, 112","06, 09, 112","06, 10, 112","06, 11, 112","06, 12, 112","06, 13, 112","06, 14, 112","06, 15, 112","06, 16, 112","06, 17, 112","06, 18, 112","06, 19, 112"
"06, 00, 113","06, 01, 113","06, 02, 113","06, 03, 113","06, 04, 113","06, 05, 113","06, 06, 113","06, 07, 113","06, 08, 113","06, 09, 113","06, 10, 113","06, 11, 113","06, 12, 113","06, 13, 113","06, 14, 113","06, 15, 113","06, 16, 113","06, 17, 113","06, 18, 113","06, 19, 113"
"06, 00, 114","06, 01, 114","06, 02, 114","06, 03, 114","06, 04, 114","06, 05, 114","06, 06, 114","06, 07, 114","06, 08, 114","06, 09, 114","06, 10, 114","06, 11, 114","06, 12, 114","06, 13, 114","06, 14, 114","06, 15, 114","06, 16, 114","06, 17, 114","06, 18, 114","06, 19, 114"
"06, 00, 115","06, 01, 115","06, 02, 115","06, 03, 115","06, 04, 115","06, 05, 115","06, 06, 115","06, 07, 115","06, 08, 115","06, 09, 115","06, 10, 115","06, 11, 115","06, 12, 115","06, 13, 115","06, 14, 115","06, 15, 115","06, 16, 115","06, 17, 115","06, 18, 115","06, 19, 115"
"06, 00, 116","06, 01, 116","06, 02, 116","06, 03, 116","06, 04, 116","06, 05, 116","06, 06, 116","06, 07, 116","06, 08, 116","06, 09, 116","06, 10, 116","06, 11, 116","06, 12, 116","06, 13, 116","06, 14, 116","06, 15, 116","06, 16, 116","06, 17, 116","06, 18, 116","06, 19, 116"
"06, 00, 117","06, 01, 117","06, 02, 117","06, 03, 117","06, 04, 117","06, 05, 117","06, 06, 117","06, 07, 117","06, 08, 117","06, 09, 117","06, 10, 117","06, 11, 117","06, 12, 117","06, 13, 117","06, 14, 117","06, 15, 117","06, 16, 117","06, 17, 117","06, 18, 117","06, 19, 117"
